product_name,model_code,monthly_price_text,original_price_text,discount_text,detail_url,image_url,image_local_path,page_number
เครื่องดูดฝุ่น LG CordZero™ รุ่น A9T-ULTRA แบบด้ามจับ All-in-One Tower พร้อม Smart WI-FI control ควบคุมสั่งงานผ่านสมาร์ทโฟน,A9T-ULTRA,฿349,฿699,Subscription,https://www.lg.com/th/vacuum-cleaner/cordless-vacuum-cleaner/a9t-ultra/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/images/vacuum-cleaner/a9t-ultra_dcbpeth_eath_th_c/Basic-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\A9T-ULTRA.jpg,1
เครื่องดูดฝุ่น LG CordZero™ รุ่น A9T-CORE แบบด้ามจับ All-in-One Tower,A9T-CORE,฿599,,Subscription,https://www.lg.com/th/vacuum-cleaner/cordless-vacuum-cleaner/a9t-core/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/vacuum-cleaner/2025/a9t-core-dcgpeth/gallery/02_A9T-CORE_TH_Front_450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\A9T-CORE.jpg,1
"ทีวี 86"" LG QNED AI QNED80 4K Smart TV 2025 รุ่น 86QNED80ASA",86QNED80ASA,"฿1,299",,Subscription,https://www.lg.com/th/tv-soundbars/qned/86qned80asa/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/tv/2025/qned/86-75-65-55qned80asa-atm/gallery/qned80/86-qned80-a/basic/qned-qned80-2025-86-basic-01.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\86QNED80ASA.jpg,1
"ทีวี 75"" LG UHD AI UA84 4K Smart TV 2025 รุ่น 75UA8450PSA",75UA8450PSA,฿649,,Subscription,https://www.lg.com/th/tv-soundbars/4k-uhd-tvs/75ua8450psa/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/tv/2025/uhd/86-75-65-55-43ua8450psa-atm/gallery/75-ua75-a/basic/uhd-ua75-2025-75-basic-01.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\75UA8450PSA.jpg,1
"ทีวี 65"" LG QNED AI QNED82 4K Smart TV 2025 รุ่น 65QNED82ASA",65QNED82ASA,฿599,,Subscription,https://www.lg.com/th/tv-soundbars/qned/65qned82asa/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/tv/2025/qned/86-75-65-55-qned82asa-atm/gallery/65-qned82-a/basic/qned-qned82-2025-65-basic-01.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\65QNED82ASA.jpg,1
"ทีวี 48"" LG OLED evo AI C5 4K Smart TV 2025 รุ่น OLED48C5PSA",OLED48C5PSA,฿399,฿799,Subscription,https://www.lg.com/th/tv-soundbars/oled-evo/oled48c5psa/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/tv/2025/oled/oled83-42g5pas-atm/gallery/c5/48-c5-a/basic/oled-c5-2025-48-basic-01.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\OLED48C5PSA.jpg,1
สมาร์ททีวี LG QNED evo AI QNED86 MiniLED 4K ขนาด 75 นิ้ว ปี 2025,75QNED86ASA,฿949,,Subscription,https://www.lg.com/th/tv-soundbars/qned/75qned86asa/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/tv/2025/qned/100-55qned86asa/gallery/75QNED86_Infill_0000_450-Re.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\75QNED86ASA.jpg,1
เครื่องล้างจาน DFC533FV สีเงิน WI-FI control,DFC533FV,฿324,฿649,Subscription,https://www.lg.com/th/dishwasher/dfc533fv/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/dishwasher/dfc533fv/gallery/01_XD5_PS4_DFC533FV_TH_Front-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\DFC533FV.jpg,1
เครื่องล้างจาน DFC335HM สีดำ มี WI-FI control,DFC335HM,฿399,฿799,Subscription,https://www.lg.com/th/dishwasher/dfc335hm/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/dishwasher/dfc335hm/gallery/01_XD-G3_MatteBlack_DFC335HM_TH_Front-450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\DFC335HM.jpg,1
เครื่องลดความชื้น LG PuriCare Dehumidifier 19 รุ่น MD19GQGA1 19 ลิตร,MD19GQGA1,฿274,฿549,คำสั่งซื้อล่วงหน้า (Pre-Order) Subscription,https://www.lg.com/th/dehumidifier/md19gqga1/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/dehumidifier/2025/md19gqga1/thumb-Dehu-19-450x450.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\MD19GQGA1.jpg,1
เครื่องลดความชื้น LG PuriCare Dehumidifier 23 รุ่น DD23GMWE1 40 ลิตร,DD23GMWE1,฿299,฿599,Subscription New,https://www.lg.com/th/dehumidifier/dd23gmwe1/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/dehumidifier/2026/dd23gmwe1-ath/aircare_hk_dehumidifier_mojave_2024_gp1/gallery/01-basic/aircare-hk-dehumidifier-mojave-dd14gmwe0-gp1-basic-large.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\DD23GMWE1.jpg,1
"LG UltraGear™ 45"" OLED Dual-Mode 5K2K 0.03ms, DisplayHDR True Black",45GX950A-B,฿699,"฿1,399",Subscription,https://www.lg.com/th/monitors/gaming/45gx950a-b/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/monitor/2025/45gx950a-b-atm/gallery/basic/ultragear-gaming-45gx950a-2025-gallery-basic-large.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\45GX950A-B.jpg,1
"LG UltraGear™ 34"" OLED 240Hz WQHD Curved Smart webOS 0.03ms 240Hz",34GX90SA-W,฿799,,Subscription,https://www.lg.com/th/monitors/gaming/34gx90sa-w/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/monitor/2025/34gx90sa-w-atm/gallery/basic/ultragear-gaming-34gx90sa-2025-gallery-basic-large.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\34GX90SA-W.jpg,1
LG UltraGear™ GX7 27 นิ้ว240Hz OLED QHD Gaming Monitor 27GX704A DisplayHDR™ True Black 400,27GX704A-B,฿224,฿449,Subscription New,https://www.lg.com/th/monitors/gaming/27gx704a-b/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/monitor/2026/27gx704a-atm/gallery/basic/ultragear-gaming-27gx704a-2025-gallery-basic-large.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\27GX704A-B.jpg,1
LG Smart Monitor จอ 4K UHD IPS 31.5” พร้อม webOS,32U731SA-W,฿349,,Subscription,https://www.lg.com/th/monitors/smart-monitors/32u731sa-w/lgsubscribe,https://www.lg.com/content/dam/channel/wcms/th/image-update/monitor/2025/32u731sa-w-atm/gallery/basic/basic.jpg/jcr:content/renditions/thum-350x350.jpeg,images_all_pages\32U731SA-W.jpg,1
